standing,team,name
1,LIV,Liverpool
2,BAR,Barcelona
3,ARS,Arsenal
4,INT,Internazionale
5,ATM,Atlético Madrid
6,B04,Bayer Leverkusen
7,LILL,Lille
8,AVL,Aston Villa
9,ATA,Atalanta
10,DOR,Borussia Dortmund
11,RMA,Real Madrid
12,MUN,Bayern Munich
13,MIL,AC Milan
14,PSV,PSV Eindhoven
15,PSG,Paris Saint-Germain
16,BEN,Benfica
17,MON,AS Monaco
18,BRE,Brest
19,FEY,Feyenoord Rotterdam
20,JUV,Juventus
21,CEL,Celtic
22,MNC,Manchester City
23,SCP,Sporting CP
24,BRU,Club Brugge
25,DZG,Dinamo Zagreb
26,VFB,VfB Stuttgart
27,SHK,Shakhtar Donetsk
28,BOL,Bologna
29,RSB,Red Star Belgrade
30,STG,SK Sturm Graz
31,SPP,Sparta Prague
32,RBL,RB Leipzig
33,GIR,Girona
34,SLZ,RB Salzburg
35,SLB,Slovan Bratislava
36,YB,Young Boys